Title,Authors,LC Classifications,Publish Date,Publisher,Subjects,Pagination,Info URL,Location
Everything You Need to Ace Pre-Algebra and Algebra I in One Big Fat Notebook,"Workman Publishing, Jason Wang",QA152.3.W36 2021,2021,"Workman Publishing Company, Incorporated",Mathematics,640,https://openlibrary.org/books/OL34702747M/Everything_You_Need_to_Ace_Pre-Algebra_and_Algebra_I_in_One_Big_Fat_Notebook,A1
The queue,Basmah ʻAbd al-ʻAzīz,"PJ7904.A95 T3313 2016, PJ7904.A95T3313 2016",2016,Melville House,"Politics and government, Authoritarianism, Fiction",217 pages,https://openlibrary.org/books/OL27212749M/The_queue,A1
The White Tiger,Aravind Adiga,N/A,N/A,N/A,N/A,N/A,https://openlibrary.org/books/OL24092292M/The_White_Tiger,A1
"The Darkness That Comes Before Prince of Nothing",,N/A,2008,Overlook Press,N/A,N/A,https://openlibrary.org/books/OL26131346M/The_Darkness_That_Comes_Before_Prince_of_Nothing,A1
All Men are Mortal,Simone de Beauvoir,"PQ2603.E362 T613 1992, PQ2603.E362T613 1992",1992,Norton,N/A,345 p. ;,https://openlibrary.org/books/OL1705307M/All_Men_are_Mortal,A1
The Exorcist,William Peter Blatty,N/A,2011-10-04,HarperCollins Publishers,N/A,N/A,https://openlibrary.org/books/OL53506194M/The_Exorcist,A1
"Resistance, rebellion, and death",Albert Camus,"PQ2605.A3734 A25 1995, PQ2605.A3734A25 1995",1995,Vintage International,"Good and evil., Europe -- Politics and government.","viii, 272 p. ;",https://openlibrary.org/books/OL918448M/Resistance_rebellion_and_death,A1
The rebel,Albert Camus,"HM281 .C3513 1991, HM281 .C3513 1956, BJ1406 .C32, HM281",1991,Vintage Books,Revolutions.,"xii, 306 p. ;",https://openlibrary.org/books/OL1566124M/The_rebel,A1
The first man,Albert Camus,PQ2605.A3734 P7413 1995,1995,Knopf,"Children -- Fiction, Fatherless families -- Fiction, Algeria -- Fiction","viii, 325 p. ;",https://openlibrary.org/books/OL1271440M/The_first_man,A1
A happy death,Albert Camus,"PQ2605.A3734 M613 1995, PQ2605.A3734M613",1995,Vintage International,N/A,192 p. ;,https://openlibrary.org/books/OL918497M/A_happy_death,A1
Exile and the kingdom,Albert Camus,PQ2605.A3734 E913 1991,1991-11,Vintage Books,N/A,213 p. ;,https://openlibrary.org/books/OL1566123M/Exile_and_the_kingdom,A1
Legion,William Peter Blatty,"PS3552.L392 L4 2011, PS3552.L392L4 2011",2011,Tor,"Police, Serial murders, Fiction",p. cm.,https://openlibrary.org/books/OL25001334M/Legion,A1
2001,Arthur C. Clarke,"PR6005.L36 A615 2000, PR6015.I3","September 12, 2000",Roc,N/A,N/A,https://openlibrary.org/books/OL7576213M/2001,A1
The Witch of Portobello,Paulo Coelho,N/A,2007,Harper Perennial,"Literary, Fiction / General, General, Fiction, Fiction - General",N/A,https://openlibrary.org/books/OL9806327M/The_Witch_of_Portobello,A1
By the River Piedra I sat down and wept,Paulo Coelho,"PQ9698.13.O3546 N313 1997, PQ6968.1303546N313 ",1997,"HarperPerennial, Harper Perennial",N/A,"x, 210 p. ;",https://openlibrary.org/books/OL24646054M/By_the_River_Piedra_I_sat_down_and_wept,A1
The pilgrimage,Paulo Coelho,"BF1999 .C67413  1995, BF1999.C67413  1995",1995,HarperSanFrancisco,"Coelho, Paulo, Pilgrims and pilgrimages -- Spain -- Santiago de Compostela",226 p. ;,https://openlibrary.org/books/OL18667960M/The_pilgrimage,A1
Dusklands,J. M. Coetzee,N/A,1996,Penguin Books,N/A,N/A,https://openlibrary.org/books/OL36684758M/Dusklands,A1
Disgrace,,PR9369.3.C58 D5 2000,2000,Penguin Books,N/A,220p.,https://openlibrary.org/books/OL26875592M/Disgrace,A1
Death of Jesus,J. M. Coetzee,N/A,2020,Penguin Random House,"Fiction, family life, general, Fiction (fictional works by one author)",208,https://openlibrary.org/books/OL35549813M/Death_of_Jesus,A1
Schooldays of Jesus,J. M. Coetzee,PR9369.3.C58S35 2018,2018,"Penguin Publishing Group, Penguin Books","Fiction (fictional works by one author), Fiction, coming of age",272,https://openlibrary.org/books/OL40907813M/Schooldays_of_Jesus,A1
The Childhood of Jesus,J. M. Coetzee,N/A,2014,Penguin Books,N/A,N/A,https://openlibrary.org/books/OL32935924M/The_Childhood_of_Jesus,A1
Elizabeth Costello,J. M. Coetzee,"PR9369.3.C58 E44 2004b, PR9369.3.C58E44",2004,Penguin Books,"Women authors -- Fiction, Australians -- Foreign countries -- Fiction, Storytelling -- Fiction, Authorship -- Fiction, Australia -- Fiction",231 p. ;,https://openlibrary.org/books/OL3383815M/Elizabeth_Costello,A1
Boyhood,J. M. Coetzee,"PR9369.3.C58Z463, PR9369.3.C58 Z463 1998","September 1, 1998",Penguin (Non-Classics),N/A,N/A,https://openlibrary.org/books/OL7351675M/Boyhood,A1
Age of Iron,J. M. Coetzee,"PR9369.3.C58A7 , PR9369.3.C58 A7 2000","September 1, 1998",Penguin (Non-Classics),N/A,N/A,https://openlibrary.org/books/OL7351974M/Age_of_Iron,A1
Under western eyes,Joseph Conrad,"PR6005.O4 U5 2001, PR6005.O4U5 2001",2001,Modern Library,"College students -- Fiction, Terrorism -- Fiction, Bombings -- Fiction, Russia -- History -- 1904-1914 -- Fiction, Saint Petersburg (Russia) -- Fiction, Geneva (Switzerland) -- Fiction","xxi, 298 p. ;",https://openlibrary.org/books/OL3940373M/Under_western_eyes,A1
Nostromo (Barnes & Noble Classics Series) (Barnes & Noble Classics),Joseph Conrad,N/A,"October 25, 2004",Barnes & Noble Classics,"General, Fiction, Literature - Classics / Criticism, Classics, Fiction / Classics, LITERATURE - LIT CLASSICS TRD PB",N/A,https://openlibrary.org/books/OL8870226M/Nostromo_(Barnes_Noble_Classics_Series)_(Barnes_Noble_Classics),A1
Stranger Shores,J. M. Coetzee,N/A,"August 27, 2002",Penguin (Non-Classics),N/A,N/A,https://openlibrary.org/books/OL7360187M/Stranger_Shores,A1
Waiting for the barbarians,J. M. Coetzee,"PR9369.3.C58 W3 1982, PR9369.3.C58W3",1982,Penguin Books,N/A,156 s.,https://openlibrary.org/books/OL24949199M/Waiting_for_the_barbarians,A1
The Master of Petersburg,J. M. Coetzee,PR9499.3.N3,1995,Penguin Books,"Dostoyevsky, Fyodor, -- 1821-1881 -- Fiction., Saint Petersburg (Russia) -- Fiction., Russia -- History -- Alexander II, 1855-1881 -- Fiction.",250 p. ;,https://openlibrary.org/books/OL22858904M/The_Master_of_Petersburg,A1
Life & times of Michael K,J. M. Coetzee,"PR9369.3.C58 L5 1985, PR9369.3.C58L5 1985",1985,Penguin Books,"Gardeners -- Fiction., South Africa -- Fiction.",184 p. ;,https://openlibrary.org/books/OL2856537M/Life_times_of_Michael_K,A1
In the heart of the country,J. M. Coetzee,PR9369.3.C58 I5 1982,1982,Penguin Books,N/A,138 p. ;,https://openlibrary.org/books/OL3487863M/In_the_heart_of_the_country,A1
Foe,J. M. Coetzee,"PR9369.3.C58 F6 1987b, PR9369.3.C58F6 1987",2002?,Penguin Books,"Survival after airplane accidents, shipwrecks, etc. -- Fiction.",157 p.,https://openlibrary.org/books/OL2383150M/Foe,A1
The Brothers Karamazov,,"PG3326.B7 2002, PG3326 .B7 2002","June 14, 2002","Farrar, Straus and Giroux",N/A,N/A,https://openlibrary.org/books/OL30521039M/The_Brothers_Karamazov,A1
The Adolescent,Фёдор Михайлович Достоевский,N/A,"December 7, 2004",Vintage,N/A,N/A,https://openlibrary.org/books/OL7426708M/The_Adolescent,A1
The house of the dead,Фёдор Михайлович Достоевский,N/A,2004,Barnes & Noble Classics,"Exiles -- Russia -- Siberia -- Fiction, Poor -- Russia -- Fiction","xxxiv, 446 p. ;",https://openlibrary.org/books/OL22859320M/The_house_of_the_dead,A1
Algerian White,Assia Djebar,DT295.5,November 2002,Seven Stories Press,"African history: postwar, from c 1945 -, Biography: general, Literary, Biography & Autobiography, Biography / Autobiography, Biography/Autobiography, Algeria, Personal Memoirs, Women, Literary Criticism & Collections / Essays",N/A,https://openlibrary.org/books/OL8789578M/Algerian_White,A1
The inheritance of loss,Kiran Desai,"PS3554.E82 I54 2006b, , PS3554.E82 I54 2006",2006,Grove Press,"Judges, Retirement, Psychological fiction, Teenage girls, Grandparent and child, Orphans, Ethnic relations, Fiction, Grandfathers, Tutors and tutoring, Older men, Domestic fiction",357 p. ;,https://openlibrary.org/books/OL25564146M/The_inheritance_of_loss,A1
This Human Season,Louise Dean,,"February 4, 2008",Harvest Books,"Historical - General, Fiction / General, General, Fiction, Fiction - Historical",N/A,https://openlibrary.org/books/OL9552822M/This_Human_Season,A1
